"year","population","ssb.apx","ssb.st","r","ryplus1","bt_anomaly","sst_anomaly","rps.apx","rps.st"
1981,"winter",14910.3515573071,14910.3515573071,40416.4886457753,14999.6206135584,NA,NA,1.00598705241176,1.00598705241176
1982,"winter",23777.0291708222,23777.0291708222,14999.6206135584,20125.3729191017,-0.920583009233333,NA,0.846420836451613,0.846420836451613
1983,"winter",21847.8477532931,22985.132978807,20125.3729191017,1138.33354328798,-0.5869513729,-0.669139301133164,0.0521027771770516,0.049524775181312
1984,"winter",15842.2720192255,17582.1747265393,1138.33354328798,2584.5274484466,-0.365974024233333,-0.239473229554081,0.163141211393803,0.146997029016291
1985,"winter",10451.5250443529,8629.6995779061,2584.5274484466,5901.77455477221,-0.0471247048999999,0.0681624849773605,0.564680707334763,0.683891078883213
1986,"winter",9137.31081772694,8009.9802622931,5901.77455477221,36.715047258449,0.413636313766668,-0.494290833156157,0.00401814581892295,0.00458366263788248
1987,"winter",10112.9849056935,9448.11738594201,36.715047258449,14072.2372445449,0.264101685100001,-0.287436511204916,1.39150185388118,1.48942235470986
1988,"winter",10209.3396512274,10209.3396512274,14072.2372445449,3516.93196842875,-0.193105339233332,-0.525532023175762,0.344481826305576,0.344481826305576
1989,"winter",11408.7585424808,11408.7585424808,3516.93196842875,5174.63964302587,-0.0462626203999994,-0.0437530105297963,0.453567285498939,0.453567285498939
1990,"winter",11297.4679247485,11297.4679247485,5174.63964302587,620.660527265428,-0.158655523233333,-0.0163755108781238,0.0549380207493926,0.0549380207493926
1991,"winter",8002.61192308152,8002.61192308152,620.660527265428,676.039932982249,0.211117553933334,-0.104528677206368,0.0844774105604673,0.0844774105604673
1992,"winter",5968.41377258331,5968.41377258331,676.039932982249,8380.18135407406,0.212283963933334,0.352230776711012,1.40408853564569,1.40408853564569
1993,"winter",5319.48706633212,5407.6110990575,8380.18135407406,1448.18902261115,-0.599289940899999,-0.944341235662694,0.272242230228732,0.26780569018056
1994,"winter",5290.48599799672,5468.72595505021,1448.18902261115,3654.82488676071,0.114853990433334,-0.484229667812267,0.690829706031664,0.668313774872113
1995,"winter",5724.12907775067,6018.36001165374,3654.82488676071,3304.42874418893,0.639567114933334,0.307300854333343,0.577280613226043,0.549058005468325
1996,"winter",5688.31229757296,6084.96164954318,3304.42874418893,6461.39917431599,0.2511030291,-0.44299208731324,1.13590795235924,1.06186358213138
1997,"winter",4231.63325917971,4607.02008055856,6461.39917431599,4542.35216409789,0.199297786433334,-0.635016922855693,1.07342765449821,0.985963178946504
1998,"winter",4368.76540568385,4842.22766639836,4542.35216409789,12948.3097646444,0.0127489131000003,-0.459956341585617,2.96383727718555,2.67403985452741
1999,"winter",6441.49193762878,7270.91481254085,12948.3097646444,16609.4294997057,-0.4213825834,0.0445303436964508,2.5785066038319,2.28436585050589
2000,"winter",9468.85316890341,9291.4129902698,16609.4294997057,1283.65316940224,0.840852073266667,1.07283195525237,0.135565854333646,0.138154785579601
2001,"winter",13727.3917766651,13727.3917766651,1283.65316940224,7952.36113125867,0.2304291431,0.176537092048809,0.579306051771373,0.579306051771373
2002,"winter",14900.6007122427,14900.6007122427,7952.36113125867,7011.33609935348,0.444433622433333,0.610484756722867,0.470540499323144,0.470540499323144
2003,"winter",11096.3649373644,11096.3649373644,7011.33609935348,2903.00248702806,0.269673637766667,0.360914476519616,0.261617430880709,0.261617430880709
2004,"winter",8051.38391842086,8051.38391842086,2903.00248702806,5344.90173964232,-0.378347507566666,-0.313934708476021,0.663848823233191,0.663848823233191
2005,"winter",7006.63828603728,7006.63828603728,5344.90173964232,14282.6230181793,-0.930978307233334,-0.795843110404517,2.03844160853022,2.03844160853022
2006,"winter",7845.48068859016,7250.6969540761,14282.6230181793,9665.44389763425,0.0777937764333334,-0.302496179799975,1.23197599755626,1.3330365286058
2007,"winter",12531.0355712648,10764.9164639053,9665.44389763425,12333.8712023652,0.594648065266666,0.406015094821383,0.984265915791372,1.14574704260089
2008,"winter",13089.1318107452,10504.130857526,12333.8712023652,9170.56680247,-0.5421911689,-0.339958168607259,0.700624528430649,0.873043845974129
2009,"winter",11394.2728879657,8579.21723329184,9170.56680247,3963.75832676045,-0.203266799733333,0.710977539315639,0.347872862598091,0.462018645638089
2010,"winter",8722.36929321254,10751.9510678105,3963.75832676045,1593.29421917055,0.00148970093333389,0.643401134194336,0.182667594733738,0.148186520671639
2011,"winter",6084.52936119526,7087.99886317249,1593.29421917055,1841.46729730598,0.616082531933333,1.75225407551091,0.302647450277771,0.259800732597997
2012,"winter",3097.10937056077,3419.88503697157,1841.46729730598,729.027401773173,1.4864452011,0.593656935251571,0.235389621271648,0.213173072747133
2013,"winter",1869.5431654288,1962.13846371654,729.027401773173,1676.98864804479,1.39044063843333,2.35405210071018,0.897004508403612,0.854673958568835
2014,"winter",1718.44293376447,1718.44293376447,1676.98864804479,1004.55429383954,1.66366210976667,1.50722118000378,0.584572390564598,0.584572390564598
2015,"winter",2297.26498339498,2297.26498339498,1004.55429383954,420.514054256381,1.65673042226667,1.36582878334148,0.183049868994621,0.183049868994621
2016,"winter",2876.95697170686,2876.95697170686,420.514054256381,366.091362097009,1.29249944643333,1.29360199583861,0.127249509011534,0.127249509011534
2017,"winter",2838.26702549007,2838.26702549007,366.091362097009,1061.28911861324,1.63765229476667,1.66393409006136,0.373921519392626,0.373921519392626
2018,"winter",2234.0857930652,2234.0857930652,1061.28911861324,478.931607426765,1.66536531143333,0.528214142355463,0.214374760769444,0.214374760769444
2019,"winter",1493.83802800851,1493.83802800851,478.931607426765,NA,1.0447222531,1.66233487799735,NA,NA
2020,"winter",1181.02501339143,1181.02501339143,NA,1844.75828647671,2.13496625726667,0.988125899912552,1.56199764235247,1.56199764235247
2021,"winter",1276.06078692134,1276.06078692134,1844.75828647671,NA,NA,NA,NA,NA
1981,"spring",8387.07275098525,8387.07275098525,24.9567484667152,8375.55520778864,NA,NA,0.998626750531613,0.998626750531613
1982,"spring",13374.5789085875,13374.5789085875,8375.55520778864,4448.75486419979,-0.920583009233333,NA,0.332627658381331,0.332627658381331
1983,"spring",14066.4225260929,12929.137300579,4448.75486419979,8790.28737651801,-0.5869513729,-0.669139301133164,0.624912792162488,0.67988197295456
1984,"spring",11629.8759909921,9889.97328367837,8790.28737651801,2072.65774692707,-0.365974024233333,-0.239473229554081,0.178218387584909,0.20957162243781
1985,"spring",8725.58512877172,10547.4105952186,2072.65774692707,3920.36882805571,-0.0471247048999999,0.0681624849773605,0.449295808842515,0.371690169133353
1986,"spring",8662.64532070218,9789.97587613601,3920.36882805571,10413.852749279,0.413636313766668,-0.494290833156157,1.20215619637477,1.06372608891343
1987,"spring",10882.831507511,11547.6990272625,10413.852749279,5303.74557708301,0.264101685100001,-0.287436511204916,0.487349783319032,0.459290250340057
1988,"spring",12478.0817959446,12478.0817959446,5303.74557708301,18706.8775423633,-0.193105339233332,-0.525532023175762,1.49917894819723,1.49917894819723
1989,"spring",13944.0382185877,13944.0382185877,18706.8775423633,2593.6184434496,-0.0462626203999994,-0.0437530105297963,0.186001960321096,0.186001960321096
1990,"spring",13808.0163524703,13808.0163524703,2593.6184434496,8791.22856494712,-0.158655523233333,-0.0163755108781238,0.636675706382279,0.636675706382279
1991,"spring",9780.97012821075,9780.97012821075,8791.22856494712,7198.68988440244,0.211117553933334,-0.104528677206368,0.735989353820807,0.735989353820807
1992,"spring",7294.72794426849,7294.72794426849,7198.68988440244,290.551171542621,0.212283963933334,0.352230776711012,0.0398302957646158,0.0398302957646158
1993,"spring",6697.42648712898,6609.30245440361,290.551171542621,7511.84040961087,-0.599289940899999,-0.944341235662694,1.12160102451994,1.13655570484687
1994,"spring",6862.23834655931,6683.99838950582,7511.84040961087,752.023954686068,0.114853990433334,-0.484229667812267,0.109588725530516,0.112511091544663
1995,"spring",7650.00428147987,7355.7733475768,752.023954686068,674.400371627959,0.639567114933334,0.307300854333343,0.0881568619851149,0.0916831364645195
1996,"spring",7833.82470141189,7437.17534944167,674.400371627959,586.79538100412,0.2511030291,-0.44299208731324,0.0749053499880285,0.07890030198739
1997,"spring",6006.18914206153,5630.80232068268,586.79538100412,128.462425293066,0.199297786433334,-0.635016922855693,0.0213883416347048,0.0228142310770184
1998,"spring",6391.74051964583,5918.27825893133,128.462425293066,21.8651508901383,0.0127489131000003,-0.459956341585617,0.00342084457636116,0.00369451214247006
1999,"spring",9716.09653468421,8886.67365977214,21.8651508901383,0,-0.4213825834,0.0445303436964508,0,0
2000,"spring",14727.5348265909,14904.9750052245,0,1784.4691050562,0.840852073266667,1.07283195525237,0.12116549891529,0.119723052499632
2001,"spring",22021.0243084003,22021.0243084003,1784.4691050562,7356.56581769265,0.2304291431,0.176537092048809,0.334070101129963,0.334070101129963
2002,"spring",23903.0469758894,23903.0469758894,7356.56581769265,1165.27175844515,0.444433622433333,0.610484756722867,0.0487499254643367,0.0487499254643367
2003,"spring",17800.4187536887,17800.4187536887,1165.27175844515,16418.5545379801,0.269673637766667,0.360914476519616,0.922369005199818,0.922369005199818
2004,"spring",12915.7617024668,12915.7617024668,16418.5545379801,1000.72617921002,-0.378347507566666,-0.313934708476021,0.0774810036189265,0.0774810036189265
2005,"spring",11239.8155838515,11239.8155838515,1000.72617921002,8.14061855747504,-0.930978307233334,-0.795843110404517,0.00072426620319028,0.00072426620319028
2006,"spring",11036.5426293164,11631.3263638304,8.14061855747504,1598.8131277252,0.0777937764333334,-0.302496179799975,0.144865396838886,0.137457507227807
2007,"spring",15502.6010534887,17268.7201608481,1598.8131277252,0.525809114400594,0.594648065266666,0.406015094821383,3.39174769825008e-05,3.04486441092905e-05
2008,"spring",14265.3756307286,16850.3765839479,0.525809114400594,4.77169869309748,-0.5421911689,-0.339958168607259,0.000334495131191562,0.000283180537201947
2009,"spring",10947.4386570651,13762.494311739,4.77169869309748,43.8507437664133,-0.203266799733333,0.710977539315639,0.00400557108745373,0.00318624972865638
2010,"spring",7385.4225686758,5355.84079407787,43.8507437664133,27.2416169118863,0.00148970093333389,0.643401134194336,0.00368856577380253,0.00508633806703296
2011,"spring",4534.19552745267,3530.72602547544,27.2416169118863,0,0.616082531933333,1.75225407551091,0,0
2012,"spring",2026.31390580113,1703.53823939033,0,2.27053628169441,1.4864452011,0.593656935251571,0.00112052544040392,0.00133283552384888
2013,"spring",1069.9901135473,977.394815259552,2.27053628169441,0,1.39044063843333,2.35405210071018,0,0
2014,"spring",856.003408953839,856.003408953839,0,7.59281345558243,1.66366210976667,1.50722118000378,0.00887007385269874,0.00887007385269874
2015,"spring",1144.33049734656,1144.33049734656,7.59281345558243,0,1.65673042226667,1.36582878334148,0,0
2016,"spring",1433.09092598132,1433.09092598132,0,0.0752477706292076,1.29249944643333,1.29360199583861,5.25073247377386e-05,5.25073247377386e-05
2017,"spring",1413.81840595573,1413.81840595573,0.0752477706292076,0,1.63765229476667,1.66393409006136,0,0
2018,"spring",1112.85921527218,1112.85921527218,0,0.0727025292347797,1.66536531143333,0.528214142355463,6.53294938273018e-05,6.53294938273018e-05
2019,"spring",744.121564513601,744.121564513601,0.0727025292347797,NA,1.0447222531,1.66233487799735,NA,NA
2020,"spring",588.300849367267,588.300849367267,NA,0,2.13496625726667,0.988125899912552,0,0
2021,"spring",635.640766518869,635.640766518869,0,NA,NA,NA,NA,NA
